artist,biografia,playcount,oyentes
"Beltito ""Esta En El Beat""","<a href=""https://www.last.fm/music/Beltito+%22Esta+En+El+Beat%22"">Read more on Last.fm</a>",2514,536
Ruins,"Existen al menos 10 bandas llamadas Ruins. Se ordenan por antigüedad:

Italia (1978-1985/2018-Actualidad)
Ruins (Italia)  es una banda originaria de Mestre, Venecia. Su nombre viene de una canción de Fred Frith para el álbum Unrest de Henry Cow. La primera formación de la banda fue formada por Alessandro Pizzin (teclados) junto con Franco Moruzzi (batería) y Giorgio Salvadego (bajo) y contó también con un joven Alex Masi componiendo y tocando con un estilo interesante e innovador. <a href=""https://www.last.fm/music/Ruins"">Read more on Last.fm</a>",1321433,83324
Squalee Pope,"<a href=""https://www.last.fm/music/Squalee+Pope"">Read more on Last.fm</a>",8,6
Guerrilleroz,"Para muchos un sonido violento, para otros simplemente reales. Guerrilleroz surge de una generacion forjada en los años 90..s, kon el estilo ke en aquella epoca era conocido como ""gun rap"". Callejero, sucio, puro... esos adjetivos podrian definir el sonido de este grupo, que cuenta ya con varias producciones, han participado en distintos eventos de diversas partes de la republica mexicana. Salidos directamente del underground y con un estilo que pocos pueden presumir, Guerrilleroz es uno de los verdaderos representantes del real HIP-HOP. <a href=""https://www.last.fm/music/Guerrilleroz"">Read more on Last.fm</a>",1868,145
Cherezade,"<a href=""https://www.last.fm/music/Cherezade"">Read more on Last.fm</a>",2479,306
Orlando Dias,"<a href=""https://www.last.fm/music/Orlando+Dias"">Read more on Last.fm</a>",20399,6137
Dru Down,"<a href=""https://www.last.fm/music/Dru+Down"">Read more on Last.fm</a>",390705,62539
King Kuma,"<a href=""https://www.last.fm/music/King+Kuma"">Read more on Last.fm</a>",4586,1421
Cameron Blake,"<a href=""https://www.last.fm/music/Cameron+Blake"">Read more on Last.fm</a>",4412,370
Zemlyane,"<a href=""https://www.last.fm/music/Zemlyane"">Read more on Last.fm</a>",137164,16895
Deteriorot,"<a href=""https://www.last.fm/music/Deteriorot"">Read more on Last.fm</a>",70450,4339
TOKONA-X,"Su nombre real es Kogawa Riyuuiti (古川竜一), nacido (20/10/1978) y criado en la Ciudad de Yokohama, prefectura de Kanagawa, se tubo que marchar por razones familiares a Tokoname, del cual viene su aka. Líder del grupo M.O.S.A.D. junto a ""E""qual, Akira y DJ Fixer. Ficho por Def Jam Japan y saco ﾄｳｶｲxﾃｲｵｰ (28/01/2004), Tokona-X se caracterizaba por un gran flow y sus líricas con una linea de ""gangsta rap"". Un mes antes de sacar Giant Foot Step (22/12/2004) muere repentinamente el 22 de noviembre de 2004 <a href=""https://www.last.fm/music/tokona-x"">Read more on Last.fm</a>",53771,2446
Journalist 103,"<a href=""https://www.last.fm/music/Journalist+103"">Read more on Last.fm</a>",64537,4643
Separation Of Sanity,"<a href=""https://www.last.fm/music/Separation+Of+Sanity"">Read more on Last.fm</a>",705,90
Caos Day,"<a href=""https://www.last.fm/music/Caos+day"">Read more on Last.fm</a>",236,50
Sonny & Vaech,"<a href=""https://www.last.fm/music/Sonny+&+Vaech"">Read more on Last.fm</a>",5614,1196
Kottonmouth Jesse,"<a href=""https://www.last.fm/music/Kottonmouth+Jesse"">Read more on Last.fm</a>",670,102
Soriano,"reggae ragga y rap desde murcia


Para mas info consultar:
  http://www.myspace.com/sorianofk   <a href=""https://www.last.fm/music/Soriano"">Read more on Last.fm</a>",104606,13719
Gabby Annalyse,"<a href=""https://www.last.fm/music/Gabby+Annalyse"">Read more on Last.fm</a>",330,64
Point Blank,"Point Blank es una banda norteamericana de rock and roll provenientes de Texas.  Se formó en 1974 y grabó seis discos entre 1976 y 1982. Es conocida por su hit de 1981,  ""Nicole"".

La banda fue descubierta y gestionado por Bill Ham's Lone Wolf Productions (ZZ Top, Eric Johnson). El sonido de Point Blank se arraiga en el rock sureño y el Boogie, pero tambien rozando el hard rock y demás tendencias de los 80'. En 1981 lanzaron su cuarto álbum, ""American Exce $ $"" <a href=""https://www.last.fm/music/Point+Blank"">Read more on Last.fm</a>",291035,36357
KSHMR,"Niles Hollowell-Dhar (n. Berkeley, California, 6 de octubre de 1988), más conocido como KSHMR (pronunciado como kashmir) es un DJ y productor indo-estadounidense de EDM, actualmente radicado en Berkeley, California. Desde 2013, comenzó a producir bajo el nombre de KSHMR después de haber dejado el dúo The Cataracs. <a href=""https://www.last.fm/music/Kshmr"">Read more on Last.fm</a>",5573159,326478
Ningmuanching,"<a href=""https://www.last.fm/music/Ningmuanching"">Read more on Last.fm</a>",430,14
Marisol,"Nació el 4 de febrero de 1948 en Málaga, España. Su enorme afición por el cante y el baile flamenco desde muy niña la llevan a adquirir una sólida formación en esos campos, integrándose en los Coros y Danzas de su ciudad natal.

El director de cine Luis Lucía Mingarro le lanza al estrellato con Un rayo de luz y luego trabajará con él en cuatro películas más Ha llegado un ángel, ""Tómbola"" con su famosa canción La vida es una tómbola, Las cuatro bodas de Marisol y Solos los dos. <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>",293276,46606
Reykon,"Reykon, El Líder, es un artista del genero urbano. Detrás del nombre Reykon hay un joven colombiano llamado Andrés Felipe Robledo Londoño que nació en la ciudad de Envigado en el año 1986.
Un joven entregado a la música desde que nació, empezó a hacer sus primeras canciones en el 2002, grabadas en casetes ya que ese era el recurso que en ese tiempo tenía al alcance, acompañado de sus compañeros de estudio: Musik Man y TaTallillo. Su primera <a href=""https://www.last.fm/music/Reykon"">Read more on Last.fm</a>",975070,107358
Snorri Helgason,"<a href=""https://www.last.fm/music/Snorri+Helgason"">Read more on Last.fm</a>",95315,13462
Anadora,"<a href=""https://www.last.fm/music/Anadora"">Read more on Last.fm</a>",8696,952
Nocheterna,"Nocheterna se forma en el año 2006 en la ciudad de Sevilla, España, aunque no será hasta 2014 cuando con la formación actual deciden dar un giro al metal actual.

Cansados de oír siempre lo mismo y de ver como el movimiento de música heavy / rock cada vez es menos atractivo, deciden reinventarse uniendo guitarras afiladas, ritmos contundentes y voces rasgadas con la electronica más agresiva tipo dubstep o trap. Creando así su propio estilo al que denominan Metal Electrónico; un producto que arrasa y te hará vibrar en sus directos <a href=""https://www.last.fm/music/Nocheterna"">Read more on Last.fm</a>",563,62
Northern Revival,"<a href=""https://www.last.fm/music/Northern+Revival"">Read more on Last.fm</a>",1875,215
Amongster,"<a href=""https://www.last.fm/music/Amongster"">Read more on Last.fm</a>",135958,20093
Eisregen,"Eisregen es una banda alemana de Dark  Metal que fue fundada en 1995.  

Los miembros son de Tambach-Dietharz, una aldea de Turingia. En castellano, Eisregen se traduce en ""Lluvia de hielo"".
  <a href=""https://www.last.fm/music/Eisregen"">Read more on Last.fm</a>",6361336,83160
J. Stalin,"<a href=""https://www.last.fm/music/J.+Stalin"">Read more on Last.fm</a>",151186,10306
The Heritance,"<a href=""https://www.last.fm/music/The+Heritance"">Read more on Last.fm</a>",779,119
Carnal Blasphemy,"Bio
Death Metal creado en Bogotá formada inicialmente en el 2005 por Sam Jhon Molina – Bajo/Voz, Luis Caro – Guitarra, Jhon Piñeros – Batería, meses después entrarían Jeffrey Navarro – Guitarra y Jason Vidal – Voz, con esta alineación trabajaron durante 3 años hasta sacar su primer EP titulado Perversity Blood Pleasure. Después de un tiempo dejarían el grupo Luis Caro y Jason Vidal, en 2011 ingresaría Johan Cuestas como vocalista <a href=""https://www.last.fm/music/Carnal+Blasphemy"">Read more on Last.fm</a>",7955,499
Montes Insania,"<a href=""https://www.last.fm/music/Montes+Insania"">Read more on Last.fm</a>",3367,285
Jazz Bandana,"<a href=""https://www.last.fm/music/Jazz+Bandana"">Read more on Last.fm</a>",39423,2121
Sahab Singh Ramola,"<a href=""https://www.last.fm/music/Sahab+Singh+Ramola"">Read more on Last.fm</a>",168,42
Lepai,"<a href=""https://www.last.fm/music/Lepai"">Read more on Last.fm</a>",390,56
Fico Rodz,"<a href=""https://www.last.fm/music/Fico+Rodz"">Read more on Last.fm</a>",99,21
Satanic Assault Division,"<a href=""https://www.last.fm/music/Satanic+Assault+Division"">Read more on Last.fm</a>",20456,1265
Kolera,"<a href=""https://www.last.fm/music/Kolera"">Read more on Last.fm</a>",273928,17555
SoundScape,"<a href=""https://www.last.fm/music/Soundscape"">Read more on Last.fm</a>",134349,5692
Elenco,"Apuesta interesante la de los riojanos Elenco, que con su rap metal más personal fueron proclamados ganadores de tres concursos consecutivos, cuyos premios hicieron posible la grabación de su primer disco de estudio «Ajuste de Cuentas». La banda está compuesta por Estres (voz), Rapha (DJ), Jose (guitarra), Valpu (batería) y Dani (bajo). 

El 16 de mayo de 2009 dan su primer concierto en Laguardia-Biasteri (Alava-Araba) dentro del concurso de la Sala A&K que convocaba a mas de 40 grupos de todo Alava, Navarra y La Rioja. <a href=""https://www.last.fm/music/Elenco"">Read more on Last.fm</a>",10162,868
El Doggy,"<a href=""https://www.last.fm/music/+noredirect/El+Doggy"">Read more on Last.fm</a>",73,14
Gramoun Sello,"<a href=""https://www.last.fm/music/Gramoun+Sello"">Read more on Last.fm</a>",779,132
Cell 9,"<a href=""https://www.last.fm/music/Cell+9"">Read more on Last.fm</a>",806,60
Elessar UK,"<a href=""https://www.last.fm/music/Elessar+UK"">Read more on Last.fm</a>",7351,246
La Pols i l'Era,"<a href=""https://www.last.fm/music/La+Pols+i+l%27Era"">Read more on Last.fm</a>",2347,154
Asees Kaur,"<a href=""https://www.last.fm/music/Asees+Kaur"">Read more on Last.fm</a>",147933,18289
Carlito,"Carlito es el alias del camaleónico cantante sueco Jonny Jakobsen, también conocido como Dr. MacDoo y Dr. Bombay.
Con este pseudónimo lanzo el album ""Fiesta"" y los singles ""Poco Loco"" y ""Carlito (¿Who's That Boy?)"". <a href=""https://www.last.fm/music/Carlito"">Read more on Last.fm</a>",258537,34866
Piraña,"Existen Muchas Bandas Con el Nombre Piraña. Pero Las mas conocidas son dos, Piraña (Mexico) y Piraña (Chile)

PIRAÑA (CHI)
Todo empezó un fin de semana en Limache, Chile por Junio del 2003, cuando Sebastián (ex-Eternal Suffering, actual Thrash Attack Limache), junto a Rodrigo (ex-Mercyless Death, Panamá) y Lleras (ex-Enochian, Valparaíso.) decidieron formar un proyecto musical que estuviera influenciado básicamente por el metal de finales de los 90. <a href=""https://www.last.fm/music/+noredirect/Pira%C3%B1a"">Read more on Last.fm</a>",6923,914
Brous One,"<a href=""https://www.last.fm/music/Brous+One"">Read more on Last.fm</a>",520209,82439
Mi Capitán,"<a href=""https://www.last.fm/music/Mi+Capit%C3%A1n"">Read more on Last.fm</a>",61323,8392
Door Into Emptiness,"<a href=""https://www.last.fm/music/Door+Into+Emptiness"">Read more on Last.fm</a>",17874,934
Obrero,"<a href=""https://www.last.fm/music/Obrero"">Read more on Last.fm</a>",7079,839
Cristóbal Jiménez,"Cristóbal Jiménez

“El coplero de Oro de Venezuela” nació en vecindario el chacero, Mantecal, Alto Apure, Licenciado en Letras y Magíster Scientarium en Literatura Venezolana egresado de la Universidad Central de Venezuela. Es el cantador llaneros que más lejos y mayor números de veces nos ha representado en el mundo, a interpretados sus temas en: Zurich, suiza, suecia; se ha presentado en el museo de la música en Estocolmo y en la Ciudad de Uppsala en la Universidad de Gotinga.  <a href=""https://www.last.fm/music/Crist%C3%B3bal+Jim%C3%A9nez"">Read more on Last.fm</a>",10538,1607
Neleonard,"Desde que dio a luz a su proyecto personal en 2012, Nele ha ido sumando gente al grupo para acabar de dar forma a estas canciones: Laura Alonso, Elena Comas, Guille Rodríguez, Eloy Bernal y Pedro Señalada, procedentes de bandas como GÚDAR, LOS PROBETA, DIE KATAPULT, GABRIEL Y VENCERÁS, SOMIER o HIBERNALES. Y poco a poco se ha acercado el momento de meterse en los estudios Caballo Grande, contando con la producción de Cristian Pallejà (NISEI, FRED I SON) y Ferran Resines (BLUEBERRY HILL). <a href=""https://www.last.fm/music/Neleonard"">Read more on Last.fm</a>",27505,1914
Chippass,"<a href=""https://www.last.fm/music/Chippass"">Read more on Last.fm</a>",11196,1790
Javed Ali,"<a href=""https://www.last.fm/music/Javed+Ali"">Read more on Last.fm</a>",1006471,78558
Kronos Resistor,"<a href=""https://www.last.fm/music/Kronos+Resistor"">Read more on Last.fm</a>",1235,164
Circle Spectre Haunting,"<a href=""https://www.last.fm/music/Circle+Spectre+Haunting"">Read more on Last.fm</a>",2355,170
Ximbo,"MC y Beat Maker oriunda de México, Distrito Federal. Su música no distingue fronteras, dentro de su producción musical podemos encontrar muestreos desde Alberto Cortés hasta Django Reinhardt mientras que las temáticas de sus canciones abordan cuestiones como el machismo, el graffiti y la soledad. Esto en conjunto da vida al género musical que la define como persona, el Hip Hop.

En activo desde 1996, Ximbo tiene el reconocimiento de la escena por haber formado parte del primer grupo de Hip Hop femenino en México D. <a href=""https://www.last.fm/music/Ximbo"">Read more on Last.fm</a>",7632,1502
Soraya,"Soraya Raquel Lamilla Cuevas (11 de marzo de 1969 - 10 de mayo de 2006), fue una cantautora y productora colombo-estadounidense. Fue una estrella de la música hispana en EE. UU., habiendo alcanzado dos «números uno» en el Billboard Latino y ganadora de premios Grammy en las categorías de Mejor Cantautor (2004) y Cantante Femenina Más Popular (2005) por su álbum El otro lado de mí. Tuvo a su cargo también el show de apertura de los premios Billboard Latin Music. <a href=""https://www.last.fm/music/Soraya"">Read more on Last.fm</a>",1477629,139007
Grimorium Verum,"GRIMORIUM VERUM COMO TAL SE FORMÓ EN LOS PRIMEROS DÍAS DEL AÑO 93 CON LUCIFEID (BATERÍA Y VOZ) Y EQUIDNOS (GUITARRA Y VOZ), DEJANDO ATRÁS EL ANTERIOR NOMBRE: AGALIAROTH, CON EL CUAL PRACTICÁBAMOS DE IGUAL MANERA UN SALVAJE BLACK METAL.
PARA AQUELLOS AÑOS YA EXISTÍAN VARIAS GRABACIONES DE ENSAYOS, HASTA 1995, AÑO EN EL CUAL SALIÓ LA PRIMER DEMO; ESTA FUE DISTRIBUIDA A EUROPA EL 96% DE SU TOTALIDAD.
EN EL AÑO 97 ENTRA JONATHAN A LA OTRA GUITARRA Y EL MISMO AÑO GRABAMOS OTRA DEMO LA CUAL NUNCA FUE VENDIDA O DIFUNDIDA. <a href=""https://www.last.fm/music/Grimorium+Verum"">Read more on Last.fm</a>",9976,679
SLIMUS,"<a href=""https://www.last.fm/music/+noredirect/SLIMUS"">Read more on Last.fm</a>",319910,9432
Shaggy,"Orville Richard Burrell, mejor conocido como Shaggy, es un cantante de reggae. Nació el 22 de octubre de 1968 en Kingston, Jamaica. Toma su apodo del popular personaje de la serie Scooby-Doo.

Su familia emigró a los Estados Unidos y se establecieron en un vecindario de Flatbush, Brooklyn en la ciudad de Nueva York.

En 1988 se unió al Cuerpo de Marines de Estados Unidos y sirvió al ejército durante la Operación Tormenta del Desierto, en la Guerra del Golfo. <a href=""https://www.last.fm/music/Shaggy"">Read more on Last.fm</a>",17058072,1871732
Heemi,"<a href=""https://www.last.fm/music/Heemi"">Read more on Last.fm</a>",262,84
Đặng Thế Luân,"<a href=""https://www.last.fm/music/%C4%90%E1%BA%B7ng+Th%E1%BA%BF+Lu%C3%A2n"">Read more on Last.fm</a>",3122,435
Guelo Star,"Guelo Star nació en Ponce, Puerto Rico el 19 de septiembre del 1981.

Guelo Star como se le conoce en el ambiente artístico también apodado como ´´La Película Viviente`` y El Rey del Discotekeo Pesao` comienza a la edad de 13 años a dar sus primeros pasos cantando entre sus amigos en la escuela intermedia. Ya estando en la superior a través de un amigo conoce al famoso productor Dj Blass y forma parte del grupo llamado ""Aria 51"". En este grupo participan integrantes de la talla de Chencho y Maldy <a href=""https://www.last.fm/music/Guelo+Star"">Read more on Last.fm</a>",55525,15064
Juventud Juché,"http://juventudjuche.bandcamp.com/

Juventud Juché nació a finales del año 2012 sin ningún tipo de pretensión. Sin embargo, varios meses después y tras más de 70 conciertos, ya están presentando su primer disco, ""Quemadero"" (Gramaciones Grabofónicas/Sonido Muchacho, 2013).

La andadura de Juventud Juché empieza con una demo grabada a comienzos de 2012 con 5 temas que luego formarían parte de su primer lanzamiento oficial, un EP (Sonido Muchacho/Discos Walden – 2012) grabado en el Studio B por Bernardo Calvo en julio de 2012. <a href=""https://www.last.fm/music/Juventud+Juch%C3%A9"">Read more on Last.fm</a>",52961,3351
Leonid Utyosov,"<a href=""https://www.last.fm/music/Leonid+Utyosov"">Read more on Last.fm</a>",110015,12896
Tayno,"<a href=""https://www.last.fm/music/Tayno"">Read more on Last.fm</a>",61,19
Suzanne Prentice,"<a href=""https://www.last.fm/music/Suzanne+Prentice"">Read more on Last.fm</a>",2160,377
Vasilica Dinu,"<a href=""https://www.last.fm/music/Vasilica+Dinu"">Read more on Last.fm</a>",55,29
Bloodphemy,"<a href=""https://www.last.fm/music/Bloodphemy"">Read more on Last.fm</a>",12211,940
CD9,"CD9 es la nueva Boy Band Mexicana conformada por Alan Navarro, Freddy Leyva, Jos Canela, Alonso Villalpando y Bryan Mouque.

Con su primer sencillo ''The Party'' lograron atraer una cantidad impresionante de Fanaticas en el país y gracias a esto lograron  firmar un contrato con Sony Music México.
Con ''Ángel Cruel'' (Su segundo sencillo)  lograron llamar la atencion de la prensa Mexicana y obtuvieron una cantidad enorme de admiradoras en Latinoamerica, principalmente en Mexico. <a href=""https://www.last.fm/music/CD9"">Read more on Last.fm</a>",813315,28306
Goldie Lookin Chain,"<a href=""https://www.last.fm/music/+noredirect/Goldie+Lookin+Chain"">Read more on Last.fm</a>",174133,15139
Cymarshall Law,"<a href=""https://www.last.fm/music/Cymarshall+Law"">Read more on Last.fm</a>",38057,3086
Chedda Bang,"<a href=""https://www.last.fm/music/Chedda+Bang"">Read more on Last.fm</a>",6201,1760
Trouble Orchestra,"<a href=""https://www.last.fm/music/Trouble+Orchestra"">Read more on Last.fm</a>",47924,3223
Lil Gangsta Ern,"<a href=""https://www.last.fm/music/Lil+Gangsta+Ern"">Read more on Last.fm</a>",138,29
Move over,"<a href=""https://www.last.fm/music/Move+Over"">Read more on Last.fm</a>",45417,2628
BiggDawg C-Loc,"<a href=""https://www.last.fm/music/BiggDawg+C-Loc"">Read more on Last.fm</a>",3534,648
Soulhenge,"<a href=""https://www.last.fm/music/Soulhenge"">Read more on Last.fm</a>",3013,120
Decayed,"<a href=""https://www.last.fm/music/Decayed"">Read more on Last.fm</a>",145323,5774
OmarCameUp,"<a href=""https://www.last.fm/music/OmarCameUp"">Read more on Last.fm</a>",217775,8125
Stefania Rares,"<a href=""https://www.last.fm/music/STEFANIA+RARES"">Read more on Last.fm</a>",878,71
Elio Mafiaboy,"<a href=""https://www.last.fm/music/Elio+MafiaBoy"">Read more on Last.fm</a>",6398,433
Epicedio,"<a href=""https://www.last.fm/music/Epicedio"">Read more on Last.fm</a>",39,10
Oma 206,"<a href=""https://www.last.fm/music/Oma+206"">Read more on Last.fm</a>",902,93
Theo Thomson,"<a href=""https://www.last.fm/music/Theo+Thomson"">Read more on Last.fm</a>",215,87
Elarcos,"<a href=""https://www.last.fm/music/Elarcos"">Read more on Last.fm</a>",681,80
Quang Linh,"<a href=""https://www.last.fm/music/Quang+Linh"">Read more on Last.fm</a>",14582,1801
Galindo Again,"<a href=""https://www.last.fm/music/Galindo+Again"">Read more on Last.fm</a>",1416,409
Dogbane,"<a href=""https://www.last.fm/music/Dogbane"">Read more on Last.fm</a>",2260,220
Hempírika,"<a href=""https://www.last.fm/music/Hemp%C3%ADrika"">Read more on Last.fm</a>",15,9
Lightshow,"<a href=""https://www.last.fm/music/LIGHTSHOW"">Read more on Last.fm</a>",64400,10372
The Prozacs,"<a href=""https://www.last.fm/music/The+Prozacs"">Read more on Last.fm</a>",29755,1582
Bello Spark,"<a href=""https://www.last.fm/music/Bello+Spark"">Read more on Last.fm</a>",152,40
J RIVERS,"<a href=""https://www.last.fm/music/J+Rivers"">Read more on Last.fm</a>",8368,1050
Alla Pugacheva,"<a href=""https://www.last.fm/music/Alla+Pugacheva"">Read more on Last.fm</a>",786365,60286
Khepri,"<a href=""https://www.last.fm/music/Khepri"">Read more on Last.fm</a>",40670,2600
Václav Neckář,"<a href=""https://www.last.fm/music/+noredirect/V%C3%A1clav+Neck%C3%A1%C5%99"">Read more on Last.fm</a>",404934,19168
Christian Bella,"<a href=""https://www.last.fm/music/CHRISTIAN+BELLA"">Read more on Last.fm</a>",4351,597
Pablo Und Destruktion,"<a href=""https://www.last.fm/music/Pablo+und+destruktion"">Read more on Last.fm</a>",183233,6425
Slow Steve,"<a href=""https://www.last.fm/music/Slow+Steve"">Read more on Last.fm</a>",14034,2410
Enfant,"Puedes Escuchar Todos nuestros discos o Descargarlos gratis aquí

Horuset
Bernardo Paz
Christian Aillon
Luis Aranda

https://www.facebook.com/EnfantOficial/ <a href=""https://www.last.fm/music/Enfant"">Read more on Last.fm</a>",10613,2146
Awakened Inferno,"<a href=""https://www.last.fm/music/Awakened+Inferno"">Read more on Last.fm</a>",927,74
TenTwentyEight,"<a href=""https://www.last.fm/music/TenTwentyEight"">Read more on Last.fm</a>",82,25
ASHLEY MOSHE,"<a href=""https://www.last.fm/music/ASHLEY+MOSHE"">Read more on Last.fm</a>",14061,904
Inferitvm,"<a href=""https://www.last.fm/music/Inferitvm"">Read more on Last.fm</a>",2966,248
Mill3r,"<a href=""https://www.last.fm/music/Mill3r"">Read more on Last.fm</a>",147,38
Monoulious DOP,"Monoulious DOP nace en 2012 como un proyecto musical único y exclusivo para internet. La curiosidad de Ula y Mon, dos amigos de toda la vida, hace que empiecen a subir videoclips que ellos mismos producen y que con la fuerza de las redes sociales pronto cuentan con el apoyo del público.

Este empuje de la gente es lo que los invita a montar una banda en clave de rock. Después de ofrecer un buen número de conciertos por la geografía gallega presentando la nueva banda en primavera de 2017 sacan su primer disco <a href=""https://www.last.fm/music/Monoulious+DOP"">Read more on Last.fm</a>",4781,583
DTM,"<a href=""https://www.last.fm/music/DTM"">Read more on Last.fm</a>",12181,2040
Bing,"<a href=""https://www.last.fm/music/BING"">Read more on Last.fm</a>",26088,5373
OG Ron C,"<a href=""https://www.last.fm/music/OG+Ron+C"">Read more on Last.fm</a>",123408,25330
Lethal,"La banda se forma a fines del año 1987, a partir del alejamiento de Claudio ""Yankee"" Ortiz y Pablo Álvarez (guitarrista y bajista respectivamente) de la banda Legión, que quisieron cambiar el rumbo de su música.
El nombre es un homenaje que Pablo Álvarez le hace al difunto Ricardo ""Chofa"" Moreno (quien iniciara V8 con Ricardo Iorio en los años 80). Es que ""Chofa"", luego de formar parte de V8, tuvo una banda de nombre Letal, en la cual Pablo tocó brevemente. <a href=""https://www.last.fm/music/Lethal"">Read more on Last.fm</a>",189796,19162
Hukutus,"<a href=""https://www.last.fm/music/Hukutus"">Read more on Last.fm</a>",5581,799
De Uno En Uno,"<a href=""https://www.last.fm/music/De+uno+en+uno"">Read more on Last.fm</a>",3676,376
Reincarnation,"Así, con las pilas cargadas, los veteranos almerienses REINCARNATION regresan a la palestra, algo que queda bastante claro tras escuchar su nuevo disco “The Beginning of the End” (2015). 

Su legendario debut “Void” (1997) es historia gloriosa del Death Metal / Brutal Death facturado en España; como es sabido, este disco se reeditó no hace demasiados meses a través de las Xtreem Cult Series del citado sello madrileño, incluyendo el EP “Seed of Hate” (1995) y otros extras bastante apetecibles.  <a href=""https://www.last.fm/music/Reincarnation"">Read more on Last.fm</a>",72400,4730
13 Steps,"<a href=""https://www.last.fm/music/13+Steps"">Read more on Last.fm</a>",16522,901
Jes Latino,"<a href=""https://www.last.fm/music/Jes+Latino"">Read more on Last.fm</a>",448,130
Karnak Seti,"<a href=""https://www.last.fm/music/Karnak+Seti"">Read more on Last.fm</a>",9517,1193
Infamous Glory,"<a href=""https://www.last.fm/music/Infamous+Glory"">Read more on Last.fm</a>",29672,1188
Incinerating Prophecies,"<a href=""https://www.last.fm/music/Incinerating+Prophecies"">Read more on Last.fm</a>",20326,2859
Snakedriver,"<a href=""https://www.last.fm/music/Snakedriver"">Read more on Last.fm</a>",1890,180
Spectral Darkwave,"<a href=""https://www.last.fm/music/Spectral+Darkwave"">Read more on Last.fm</a>",2160,285
Oprah,"<a href=""https://www.last.fm/music/Oprah"">Read more on Last.fm</a>",2688,390
Harikiri,"<a href=""https://www.last.fm/music/Harikiri"">Read more on Last.fm</a>",52653,6558
Aran One,"<a href=""https://www.last.fm/music/Aran+One"">Read more on Last.fm</a>",7197,1335
Farruko,"Farruko, cuyo nombre de pila es Carlos Efren Reyes Rosado, nacio en Bayamon, Puerto Rico, el 2 de mayo de 1991.
De la mano de experimentadas y exitosas personas como el productor musical ""Alex Gargolas"", sus manejadores Salvador Morales y Florence Torres, sus padres y un equipo de trabajo de primera, Farruko cautivo la atencion del prestigioso sello discografico Siente Music (VENEMUSIC), logrando un acuerdo de apoyo absoluto para su historica primera produccion discografica, titulada ""El Talento Del Bloque"", que se lanzo en verano de 2010. <a href=""https://www.last.fm/music/Farruko"">Read more on Last.fm</a>",8992636,698128
Fedel,"<a href=""https://www.last.fm/music/Fedel"">Read more on Last.fm</a>",21748,3676
GT Garza,"<a href=""https://www.last.fm/music/GT+Garza"">Read more on Last.fm</a>",17820,3006
Serpentor,"A fines de 1998 y por diferencias musicales se disolvía el grupo de heavy metal ”Sangre India” que hasta ese momento tenia como formación a: Guillermo Romero en voz, Jorge Moreno y Jorge Alcaraz en guitarras, Hugo y Coqui (Oscar) en bajo y batería respectivamente . Fue así que cantante y guitarristas comenzaron con el duro trabajo de seleccionar bajista y baterista que quieran formar parte de una banda de thrash metal, pero que a parte de tocar tengan los mismos propósitos que los tres primeros. <a href=""https://www.last.fm/music/Serpentor"">Read more on Last.fm</a>",31801,1890
Jiggy Drama,"Heartan ”Jiggy” Lever Criado nació el 2 de junio de 1983,  hijo de Luz Marina Criado Angarita(Ocaña, Norte de Santander, Colombia) y Heartan Lever Bowie(San Andres Islas, Colombia), creció en el barrio “San Luis”,  uno de los más culturales y tradicionales de la isla,  Jiggy siempre estuvo rodeado de música ya que su padre es músico aficionado y poseía una gran colección de LP’s que iba desde “Kool and the gang” pasando por “Oscar D’ Leon” hasta “Diomedez Diaz”.  <a href=""https://www.last.fm/music/Jiggy+Drama"">Read more on Last.fm</a>",68211,12913
C.M.L.,"<a href=""https://www.last.fm/music/C.M.L."">Read more on Last.fm</a>",254584,18484
Gert Hollander,"<a href=""https://www.last.fm/music/Gert+Hollander"">Read more on Last.fm</a>",808,165
Rone,"A pesar de los muchos años todavía por delante de él , Rone (también conocido como Erwan Castex ) ya ha recorrido un largo camino , siendo uno de los músicos franceses jóvenes más aclamados ( que acaba de cumplir 32 años ) de la escena electrónica . Después de pasar su Baccalauréat , Erwan no estaba muy seguro de lo que quería hacer por el resto de su vida y tomó los estudios de cine en la universidad. Él mira hacia atrás con cariño en este período más formativo  <a href=""https://www.last.fm/music/Rone"">Read more on Last.fm</a>",4455637,249795
Rekha Rao,"<a href=""https://www.last.fm/music/Rekha+Rao"">Read more on Last.fm</a>",1333,452
Payaso,"<a href=""https://www.last.fm/music/Payaso"">Read more on Last.fm</a>",37803,8714
Crack Ignaz,"<a href=""https://www.last.fm/music/Crack+Ignaz"">Read more on Last.fm</a>",275016,11008
Sangdragon,"<a href=""https://www.last.fm/music/Sangdragon"">Read more on Last.fm</a>",7495,1070
Elias Diaz,"<a href=""https://www.last.fm/music/Elias+Diaz"">Read more on Last.fm</a>",6194,1428
Sabhankra,"<a href=""https://www.last.fm/music/Sabhankra"">Read more on Last.fm</a>",200790,18628
Absent Minded,"<a href=""https://www.last.fm/music/Absent+Minded"">Read more on Last.fm</a>",48532,4097
Anfuse,"<a href=""https://www.last.fm/music/Anfuse"">Read more on Last.fm</a>",143,19
