artist,biografia,playcount,oyentes
Fran Ocaña,"<a href=""https://www.last.fm/music/Fran+Oca%C3%B1a"">Read more on Last.fm</a>",2905,547
Mariza,"Mariza es el nombre artístico de Mariza Reis Nunes (Mozambique, 16 de diciembre de 1973), cantante de fados, una de las más populares de Portugal y una de las artistas lusas con más proyección internacional.

De padre portugués y madre mozambiqueña, Mariza creció en el barrio lisboeta de la Mouraria, cuna del fado. Creció escuchando esta música en los diferentes locales lisboetas; cuando creció sus intereses musicales se ampliaron hacia el gospel, el r&b y la música brasileña. <a href=""https://www.last.fm/music/Mariza"">Read more on Last.fm</a>",2255692,147979
Les Tit' Nassels,"<a href=""https://www.last.fm/music/Les+Tit%27+Nassels"">Read more on Last.fm</a>",181405,11201
Bastardhammer,"<a href=""https://www.last.fm/music/bastardhammer"">Read more on Last.fm</a>",6779,449
Lapsus Dei,"Información
Año Creación : 	|| 1998
Genero : 	|| Melodic Death/Doom Metal
Pais : 	|| Chile
Formación:

Alejandro Giusti - Voz, Guitarra
Rodrigo Poblete - Guitarra
Luis Pinto - Batería
José Agustín Bastias - Bajo

Discografia
1998 - Wonderland DEMO
2001 - Dibujando Mi Karma DEMO
2003 - When a Dead Cry for his Soul... DEMO
2006 - Beyond the Truth CD
2010 - In Our Sacred Places EP
2013 - Sadness Reflections CD
2015 - In Our Sacred Places CD+DVD <a href=""https://www.last.fm/music/Lapsus+Dei"">Read more on Last.fm</a>",30773,2421
Hazte lapón,"Hazte Lapón es un grupo formado en Madrid en 2008 por Manuel González Molinier (guitarra ritmica, voz, letras) y Jose Antonio «Nono» Ayuso (Guitarra solista). La formación se completa poco después con la incorporación de Saray Botella (teclado, arreglos, voces). No es hasta 2010 cuando el grupo se pone en marcha definitivamente, debutando en concierto y sacando su primera grabación, Las Fatigas del querer. Tras varios cambios, la formación definitiva se cierra con Miguel Valenciano a la batería y Jesús Rodriguez al bajo. <a href=""https://www.last.fm/music/+noredirect/Hazte+Lap%C3%B3n"">Read more on Last.fm</a>",113651,4820
Ascensa Furore,"<a href=""https://www.last.fm/music/Ascensa+Furore"">Read more on Last.fm</a>",2143,224
Nicky Romero,"Nicky Romero nació en Enero 6, 1989 y creció en una pequeña ciudad llamada 'Amerongen', vivió en Canadá, específicamente en Kingston por unos pocos años.

Nicky recibe su primer tambor a la edad de 6 y empezó a tocarlo en una fanfarria. Después de hacerlo por un año o tres, se le pidió que tocara en un gran grupo que tenía actos en la calle y grandes eventos. Fue para él divertido, pero no era suficiente para el pequeño Nicky. A la edad de 12 tuvo su primer set de Batería, y empezó a practicar asiduamente. <a href=""https://www.last.fm/music/Nicky+Romero"">Read more on Last.fm</a>",4615732,483394
Datcha Dollar'z,"<a href=""https://www.last.fm/music/Datcha+Dollar%27z"">Read more on Last.fm</a>",6699,1278
Ajmal Waseem,"<a href=""https://www.last.fm/music/Ajmal+Waseem"">Read more on Last.fm</a>",28,6
Prakash Mali Mehandwas,"<a href=""https://www.last.fm/music/Prakash+Mali+Mehandwas"">Read more on Last.fm</a>",16,13
Johanis Reinosa,"<a href=""https://www.last.fm/music/Johanis+Reinosa"">Read more on Last.fm</a>",25,14
Domy,"<a href=""https://www.last.fm/music/Domy"">Read more on Last.fm</a>",2328,736
Cyco City,"<a href=""https://www.last.fm/music/Cyco+City"">Read more on Last.fm</a>",216,17
Jane's Addiction,"Jane's Addiction, grupo de rock alternativo cuyo origen es Los Ángeles California, fue formado a mediados en los 80 por Perry Farrell, Dave Navarro, Eric Avery y Stephen Perkins. Se les considera uno de los pilares del rock alternativo, y un avance de lo que representarían los años 90 en la música. A pesar de ser un grupo formado en los 80, y que desarrollan la mayor parte de su carrera en esta década, a Jane´s Addiction se los coloca habitualmente en el saco de los grupos de los 90 <a href=""https://www.last.fm/music/Jane%27s+Addiction"">Read more on Last.fm</a>",17942158,1311481
Kate Ryan,"Katrien Verbeeck (Tessenderlo, 22 de julio de 1980) más conocida por su nombre artístico Kate Ryan, es una cantante dance de Bélgica de ascendencia holandesa que ha conseguido gran éxito en las listas europeas. Entre sus temas más conocidos, destacan Désenchantée (2002), Libertine (2002), ambos versiones de Mylène Farmer, Mon Coeur Résiste Encore (2002), Je T'adore (2006), con la que participó en el Festival de Eurovisión, Ella Elle L'a (2008), Voyage voyage (2008), Babacar (2009). <a href=""https://www.last.fm/music/Kate+Ryan"">Read more on Last.fm</a>",5565191,465197
Rajesh Payal Rai,"<a href=""https://www.last.fm/music/Rajesh+Payal+Rai"">Read more on Last.fm</a>",1769,348
Hanny en de Rekels,"<a href=""https://www.last.fm/music/Hanny+en+de+Rekels"">Read more on Last.fm</a>",4252,561
"Galante ""El Emperador""","Galante ""El Emperador""

Alex A. Serrano Olivencia, conocido en el mundo artístico como Galante ""El Emperador""; nació el 17 de febrero de 1988 en Ponce, Puerto Rico. Hijo de Beliza Olivencia y Alberto Serrano. Se muda a los Estados Unidos el 30 de mayo de 2002, para el estado de Baltimore, Maryland con el propósito de continuar estudios y aprender inglés.

Su gran interés por la tecnología lo ha llevado a grandes triunfos dentro de la red cibernética. <a href=""https://www.last.fm/music/Galante+%22El+Emperador%22"">Read more on Last.fm</a>",89432,9186
Baboon Rising,"<a href=""https://www.last.fm/music/Baboon+Rising"">Read more on Last.fm</a>",548,103
The Canyon Observer,"<a href=""https://www.last.fm/music/The+Canyon+Observer"">Read more on Last.fm</a>",37609,3646
False Reality,"<a href=""https://www.last.fm/music/False+Reality"">Read more on Last.fm</a>",39603,5028
T.Y.,"<a href=""https://www.last.fm/music/T.Y."">Read more on Last.fm</a>",18838,1711
Kholebeatz,"<a href=""https://www.last.fm/music/Kholebeatz"">Read more on Last.fm</a>",19664,3549
Baby Gas,"<a href=""https://www.last.fm/music/Baby+Gas"">Read more on Last.fm</a>",43224,9546
Paty Cantú,"Paty Cantú nació el 25 de noviembre de 1983 en Guadalajara, México; es una compositora y cantante mexicana de pop melódico que se une a Mario Sandoval para conformar el grupo Lu en el año 1996.

Ambos integrantes tenían varias influencias musicales desde pequeños, generalmente por el uso de la guitarra, instrumento que comparten en la actualidad. Ambos se conocieron dentro de un grupo colegial musical.

El 27 de julio de 2008, a través de su sitio de contactos en Internet <a href=""https://www.last.fm/music/+noredirect/Paty+Cant%C3%BA"">Read more on Last.fm</a>",2603754,126245
CTS Kamika-Z,"<a href=""https://www.last.fm/music/CTS+KAMIKA-Z"">Read more on Last.fm</a>",33670,4314
STXXCH,"<a href=""https://www.last.fm/music/STXXCH"">Read more on Last.fm</a>",18422,1820
Lil Sick,"<a href=""https://www.last.fm/music/Lil+Sick"">Read more on Last.fm</a>",16568,1058
Chaosmic,"<a href=""https://www.last.fm/music/Chaosmic"">Read more on Last.fm</a>",1257,125
Nick Jonas,"Nicholas Jerry Jonas (n. 16 de septiembre de 1992) es el tercer hermano de los Jonas Brothers tras Joe.

Aunque comenzó como solista fue quien fundó el grupo al unirse a sus hermanos Kevin y Joe, que no se dedicaban profesionalmente a la música. En dicho grupo ocupa la posición de cantante principal, tocando también la guitarra y el piano. Ha asegurado que Who I Am, su más reciente éxito musical, fue escrita por él mismo  y está basada en su enfermedad (diabetes). <a href=""https://www.last.fm/music/Nick+Jonas"">Read more on Last.fm</a>",19069538,1155879
Isengrim,"<a href=""https://www.last.fm/music/Isengrim"">Read more on Last.fm</a>",12002,763
Acid Death,"<a href=""https://www.last.fm/music/Acid+Death"">Read more on Last.fm</a>",60974,3575
Unfathomable Ruination,"<a href=""https://www.last.fm/music/Unfathomable+Ruination"">Read more on Last.fm</a>",189118,8401
Necroterio,"<a href=""https://www.last.fm/music/Necroterio"">Read more on Last.fm</a>",10760,428
Marielle,"<a href=""https://www.last.fm/music/Marielle"">Read more on Last.fm</a>",13221,2677
Maus Elementos,"<a href=""https://www.last.fm/music/Maus+Elementos"">Read more on Last.fm</a>",91,8
Maronda,"www.myspace.com/pablomaronda  <a href=""https://www.last.fm/music/Maronda"">Read more on Last.fm</a>",47314,2310
Varry Brava,"Varry Brava es una banda de pop creada en Murcia en 2009 y compuesta por los oriolanos Óscar Ferrer, Aarön Sáez y Vicente Illescas. El grupo regresa con nuevo álbum tras su anterior trabajo discográfico 'Demasié' (Darlalata Music, 2012) al que precedió la demo 'Ídolo' (autoeditada en 2010). 

El segundo trabajo de Varry Brava se tituló “Arriva, 16 horas de juego y 4 litros de bebida energética” y fue publicado el 30 de septiembre de 2014. <a href=""https://www.last.fm/music/Varry+Brava"">Read more on Last.fm</a>",558792,26946
Chingy,"Antiguo miembro de Disturbing Tha Peace, Chingy llegó a la fama con su single ""Right Thurr"" (que se ha convertido en una frase muy popular en todo el mundo, a pesar de ser gramaticalmente incorrecta y utilizada anteriormente por Nelly) de su álbum Jackpot. Tras el éxito de ""Right Thurr"", ""Holidae In"", con Snoop Dogg y Ludacris, también fue un single exitoso en las listas, al igual que el siguiente, ""One Call Away"" con la colaboración de J-Weav. <a href=""https://www.last.fm/music/Chingy"">Read more on Last.fm</a>",5192176,857930
Casulo,"<a href=""https://www.last.fm/music/Casulo"">Read more on Last.fm</a>",2384,267
Sacrament,"sacramet es una banda de thrash metal cristiano formada en pennsilvanya, influenciada x bandas como vengeance rising believer, la forman:Mike Torone  vocal ,Paul Graham bateria ,Erik Ney bajo,Brian Toy guitarra,Mike DiDonato guitarra,Robert Wolfe  vocal es buenisima <a href=""https://www.last.fm/music/Sacrament"">Read more on Last.fm</a>",39390,2135
WithoutMind,"<a href=""https://www.last.fm/music/withoutmind"">Read more on Last.fm</a>",264,35
Drone,"<a href=""https://www.last.fm/music/Drone"">Read more on Last.fm</a>",840608,84108
Dixzon,"<a href=""https://www.last.fm/music/Dixzon"">Read more on Last.fm</a>",166,95
Carnalation,"<a href=""https://www.last.fm/music/Carnalation"">Read more on Last.fm</a>",34211,1780
L.A Hip Hop,"<a href=""https://www.last.fm/music/L.A+Hip+Hop"">Read more on Last.fm</a>",8274,1575
Fervent Hate,"<a href=""https://www.last.fm/music/Fervent+Hate"">Read more on Last.fm</a>",3176,357
Ecay Uno,"<a href=""https://www.last.fm/music/Ecay+Uno"">Read more on Last.fm</a>",10220,2300
Path11,"<a href=""https://www.last.fm/music/Path11"">Read more on Last.fm</a>",304,65
The Black Monolith,"<a href=""https://www.last.fm/music/The+Black+Monolith"">Read more on Last.fm</a>",1247,135
La Barbería Del Sur,"La Barbería del Sur es un grupo de música encuadrado en el estilo denominado Nuevo Flamenco. El grupo nace en 1991 bajo el nombre de la Barbería, integrado por Enrique Heredia (voz) y Juan José Suárez (guitarrista). Su música combina los fundamentos del flamenco español con ritmos tan dispares como el jazz, el pop o el funky.

En 1991 editan su primer LP La Barbería del Sur. Su mayor éxito fue el tema La alegría de vivir version fallecido de Ray Heredia , incluido en el álbum ""Arte pop"" (1998), y Una noche en el 7º (2000). <a href=""https://www.last.fm/music/+noredirect/La+Barber%C3%ADa+del+Sur"">Read more on Last.fm</a>",35704,7727
King K.O,"<a href=""https://www.last.fm/music/King+K.O"">Read more on Last.fm</a>",13568,909
Psykup,"After the band formed in 1995, Psykup defined its musical orientation very early. Claiming various influences such as STRAPPING YOUNG LAD, PRIMUS, and ALICE IN CHAINS, Psykup offers an original approach of metal music, overpassing predefined rules imposed by the metal genre while preserving an electric coherence. Often considered excentric and frenzied since they are philosophically open to mixings, Psykup’s metal is first a dark, incarnated and above all introspective music. <a href=""https://www.last.fm/music/Psykup"">Read more on Last.fm</a>",211040,10572
Família 33,"<a href=""https://www.last.fm/music/Fam%C3%ADlia+33"">Read more on Last.fm</a>",7662,342
7 H. Target,"<a href=""https://www.last.fm/music/+noredirect/7+H.+Target"">Read more on Last.fm</a>",68543,4483
Matakabra,"<a href=""https://www.last.fm/music/Matakabra"">Read more on Last.fm</a>",3603,443
Einstein NRC,"<a href=""https://www.last.fm/music/Einstein+NRC"">Read more on Last.fm</a>",311,19
Vice Vukov,"<a href=""https://www.last.fm/music/Vice+Vukov"">Read more on Last.fm</a>",29631,2829
Gustavo Elis,"Cantante venezolano, compositor, actor y breakdancer. Luego de haber pertenecido por -aproximadamente- cuatro años al dúo juvenil, Gustavo y Rein, este chico, quien se define como una persona súper sencilla, tímido -aunque muchos lo tomen por odioso- y polifacético,  puesto a que también ha hecho vida en la actuación y el baile, dará a conocer su nueva propuesta musical, que no se aleja mucho del género tropical urbano.  <a href=""https://www.last.fm/music/Gustavo+Elis"">Read more on Last.fm</a>",32509,5411
A Dream Of Poe,"<a href=""https://www.last.fm/music/A+Dream+of+Poe"">Read more on Last.fm</a>",52878,2667
Alienadept,"<a href=""https://www.last.fm/music/Alienadept"">Read more on Last.fm</a>",3043,144
Sky Crypt,"<a href=""https://www.last.fm/music/Sky+Crypt"">Read more on Last.fm</a>",4169,259
Screaming Condors,"<a href=""https://www.last.fm/music/Screaming+Condors"">Read more on Last.fm</a>",3331,56
QVXNO,"<a href=""https://www.last.fm/music/QVXNO"">Read more on Last.fm</a>",492,81
Koma Dilan,"<a href=""https://www.last.fm/music/Koma+Dilan"">Read more on Last.fm</a>",579,118
Sweet California,"Sweet California es una girlband española formada por Sonia Gómez, Alba Reig y Tamy Nsue. Rocío Cabrera formó parte del grupo hasta 2016 que decidió emprender su carrera en solitario. Surgieron gracias a Must Producciones (creadores de Auryn y management de Venus), llegando a ser teloneras en algunos conciertos de la boyband. Sus inicios en la música fueron a traves de Youtube, subiendo covers de canciones de artistas nacionales e internacionales (Disparé de Nena Daconte o Granade de Bruno Mars entre otras). <a href=""https://www.last.fm/music/Sweet+California"">Read more on Last.fm</a>",355686,28291
En Esch,"<a href=""https://www.last.fm/music/En+Esch"">Read more on Last.fm</a>",81903,6988
Raykel,"<a href=""https://www.last.fm/music/Raykel"">Read more on Last.fm</a>",3065,421
Pastor Troy,"Pastor Troy (nacido en College Park, Georgia como Micah Levar Troy en 1980) es un rapero americano. Sus canciones son llamativas por la combinación que hace de las calles y la religión, dado que ambos temas tuvieron mucho que ver en su infancia.

Troy creció con su padre, que fue un instructor del ejército, que siempre intentó guiar a Troy por el camino correcto. Por eso, Troy creció en la iglesia, y recibió muchas tentativas que podrían satisfacerle económicamente, pero que iban en contra de lo que le habían enseñado desde pequeño. <a href=""https://www.last.fm/music/Pastor+Troy"">Read more on Last.fm</a>",1184582,211308
Stauros,"<a href=""https://www.last.fm/music/Stauros"">Read more on Last.fm</a>",91852,7392
Skullwinx,"<a href=""https://www.last.fm/music/Skullwinx"">Read more on Last.fm</a>",4408,248
Biquini Cavadão,"<a href=""https://www.last.fm/music/+noredirect/Biquini+Cavad%C3%A3o"">Read more on Last.fm</a>",3331376,165159
Issa Paz,"<a href=""https://www.last.fm/music/IsSa+Paz"">Read more on Last.fm</a>",8638,1612
Juanchu,"<a href=""https://www.last.fm/music/Juanchu"">Read more on Last.fm</a>",664,129
Diana,"DIANA son un cuarteto enigmático de Toronto, compuesto por Joseph Shabason, Kieran Adams y la cantante Carmen Elle, con la reciente incorporación de Paul Mathew. 

Después de un año sabático componiendo canciones en el campo canadiense, entraron en el estudio con el ingeniero y co-productor Roger Leavens. Pidieron a la vocalista de Toronto Carmen Elle que cantase una pista, ya que ambos Kieran y Joseph la conocían de su trabajo con otros grupos como Spiral Beach.  <a href=""https://www.last.fm/music/Diana"">Read more on Last.fm</a>",822243,104597
Arjan Korkaj,"<a href=""https://www.last.fm/music/Arjan+Korkaj"">Read more on Last.fm</a>",58,22
Tarali Sarma,"<a href=""https://www.last.fm/music/Tarali+Sarma"">Read more on Last.fm</a>",822,120
Yves V,"Yves Van Geertsom, (Amberes, Bélgica, 10 de abril de 1981) conocido artísticamente como Yves V, es un disc jockey belga de los géneros electro house y progressive house.

Tras su gran actuación en el Tomorrowland de 2007 se convirtió en un DJ famoso en todo el mundo.​ También ha actuado en otros festivales como TomorrowWorld, Sensation y Misteryland. También ha pinchado en algunos de los mejores clubes del mundo. En 2009 su remix ""Insane Pressure"" le hizo entrar en las listas musicales de Francia. <a href=""https://www.last.fm/music/Yves+V"">Read more on Last.fm</a>",2721200,275826
Controlversos,"<a href=""https://www.last.fm/music/Controlversos"">Read more on Last.fm</a>",20,5
At War With Self,"<a href=""https://www.last.fm/music/At+War+With+Self"">Read more on Last.fm</a>",104543,7706
Sumon,"<a href=""https://www.last.fm/music/Sumon"">Read more on Last.fm</a>",8143,829
Liis Lemsalu,"<a href=""https://www.last.fm/music/Liis+Lemsalu"">Read more on Last.fm</a>",134419,6750
Michael Sullivan,"<a href=""https://www.last.fm/music/Michael+Sullivan"">Read more on Last.fm</a>",21934,5820
DJ Nelson,"Uno de los pilares del movimiento DJ estilo jamaiquino en la Argentina , lleva en su haber  diez años de ruta, y decenas de colaboraciones.
Editó en el año 2006 su primer CD llamado “ Jamaica Argentina”, con un batallón de amigos de la escena reggae actual argentina como invitados como Guillermo Bonetto, Claudio Illobre (Los Cafres), Mariano Castro (Dread Mar I), entre otros, y a partir de allí, su repertorio fue creciendo en líricas y concepción artística. <a href=""https://www.last.fm/music/DJ+Nelson"">Read more on Last.fm</a>",562984,83121
Le Bal des Enragés,"<a href=""https://www.last.fm/music/+noredirect/Le+Bal+Des+Enrag%C3%A9s"">Read more on Last.fm</a>",17095,944
Meliah Rage,"Meliah Rage es una banda de Heavy Metal Americana de Boston, formada en 1987 por el guitarrista/compositor Anthony Nichols.
Caracterizada principalmente por una vibra Thrash Metal combinada con las más clásicas melodías del Metal, la banda ha publicado 7 álbumes. Su alineación actual la conforma Mike Munro como vocalista, Anthony Nichols a la guitarra, Jim Koury a la guitarra, Darren Lourie en el bajo y Stu Dowie en la batería. También son <a href=""https://www.last.fm/music/Meliah+Rage"">Read more on Last.fm</a>",161040,11718
Kid Astronaut,"<a href=""https://www.last.fm/music/Kid+Astronaut"">Read more on Last.fm</a>",2920,287
MC Habit,"<a href=""https://www.last.fm/music/MC+Habit"">Read more on Last.fm</a>",5149,734
Artista Rosario,"<a href=""https://www.last.fm/music/Artista+Rosario"">Read more on Last.fm</a>",1845,455
L'Hexaler,"<a href=""https://www.last.fm/music/L%27Hexaler"">Read more on Last.fm</a>",27977,2199
Българи,"<a href=""https://www.last.fm/music/+noredirect/%D0%91%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D0%B8"">Read more on Last.fm</a>",224,31
Rauni Pekkala,"<a href=""https://www.last.fm/music/Rauni+Pekkala"">Read more on Last.fm</a>",3106,876
Young Lyxx,"<a href=""https://www.last.fm/music/Young+Lyxx"">Read more on Last.fm</a>",1404,238
Wild Dogs,"Wild Dogs fue  una banda norteamericana de Heavy Metal que se formó en Portland a principios de la década de los 80’s ; demostraron gran habilidad en las guitarras de Jeff Mark asi como cierta agresividad por parte del vocalista Matt McCourt. 

La alineación original era la siguiente: Liderados por Matt McCourt en la voz, Jeff Mark en la guitarra, Danny Kurth en el bajo, y Deen Castronovo en la batería. Por sus filas pasaron algunos de los músicos populares de la escena americana, como es el caso de Jaime St. James, cantante de Warrant. <a href=""https://www.last.fm/music/Wild+Dogs"">Read more on Last.fm</a>",51970,4368
D-Aye,"<a href=""https://www.last.fm/music/D-Aye"">Read more on Last.fm</a>",4124,623
Blacksoul Seraphim,"<a href=""https://www.last.fm/music/Blacksoul+Seraphim"">Read more on Last.fm</a>",7014,494
Downtown Brown,"<a href=""https://www.last.fm/music/Downtown+Brown"">Read more on Last.fm</a>",38363,3221
Daddy Yankee,"Raymond Luis Ayala Rodríguez (n. Río Piedras, Puerto Rico, 3 de febrero de 1977), conocido artísticamente como Daddy Yankee, cantautor de reggaetón, actor, productor cinematográfico, locutor radial[ y empresario puertorriqueño. Uno de sus mayores logros es haber popularizado el reggaetón en América Latina y diversos países de habla no-hispana. Su disco Barrio Fino lo proyectó a nivel internacional y le permitió ganar diversos premios como un premio Billboard de la Música Latina en el año 2005 y un premio Grammy Latino en el 2006. <a href=""https://www.last.fm/music/Daddy+Yankee"">Read more on Last.fm</a>",39518435,1877911
Undead Viking Mafia,"<a href=""https://www.last.fm/music/Undead+Viking+Mafia"">Read more on Last.fm</a>",3706,302
Kinjal Dave,"<a href=""https://www.last.fm/music/Kinjal+Dave"">Read more on Last.fm</a>",10862,1326
TSAR,"Tsar es una banda de rock formada en Los Angeles, California, en 1998.
Sus miembros son Jeff Whalen (Guitarras y Voces, Daniel Kern (Guitarras y Voces), Derrick Forget (Bajo) y Chuck Byler (Batería).
 <a href=""https://www.last.fm/music/Tsar"">Read more on Last.fm</a>",152723,17889
Los Secretos,"Los Secretos es un grupo de música pop español fundado en Madrid a principios del año 1980, en plena Movida Madrileña por los hermanos Urquijo (Javier, Enrique y Álvaro), y el batería, compositor y cantante, Pedro Antonio Díaz. Encuadrado en sus orígenes, junto a otras bandas como Nacha Pop, Mamá y Trastos, en el renovador movimiento de música popular que vino a llamarse Nueva Ola madrileña, Los Secretos se han revelado a través de más de un cuarto de siglo en activo <a href=""https://www.last.fm/music/Los+Secretos"">Read more on Last.fm</a>",1246568,117485
Las Aves Cantoras,"<a href=""https://www.last.fm/music/Las+Aves+Cantoras"">Read more on Last.fm</a>",196,61
Young Pô,"<a href=""https://www.last.fm/music/Young+P%C3%B4"">Read more on Last.fm</a>",391,102
Khushboo Jain,"<a href=""https://www.last.fm/music/Khushboo+Jain"">Read more on Last.fm</a>",557,245
Crowhurst,"<a href=""https://www.last.fm/music/Crowhurst"">Read more on Last.fm</a>",54373,4936
Chaos Descent,"<a href=""https://www.last.fm/music/Chaos+Descent"">Read more on Last.fm</a>",3215,366
